Curs Acadèmic,Tipus universitat,Sigles,Tipus Estudi,Branca,Sexe,Integrat S/N,Taxa rendiment,% Abandonament a primer curs
19-20,PRIVADA,UVIC-UCC,grau,Ciències socials i jurídiques,DONA,Integrat,0.9429402826165948,0.09007068414269222
19-20,PRIVADA,UVIC-UCC,grau,Ciències socials i jurídiques,HOME,Adscrit,0.865093591272194,0.1701903169294475
19-20,PRIVADA,UVIC-UCC,grau,Ciències socials i jurídiques,HOME,Integrat,0.8805977963707509,0.10934690145258485
19-20,PRIVADA,UVIC-UCC,grau,Enginyeria i arquitectura,DONA,Integrat,0.8063330014527427,0.0
19-20,PRIVADA,UVIC-UCC,grau,Enginyeria i arquitectura,HOME,Integrat,0.8383345550397904,0.20252883762200535
19-20,PRIVADA,UVIC-UCC,màster universitari,Arts i humanitats,DONA,Adscrit,1.0,0.0
19-20,PRIVADA,UVIC-UCC,màster universitari,Arts i humanitats,DONA,Integrat,0.948648648648649,0.0869565217391304
19-20,PRIVADA,UVIC-UCC,màster universitari,Arts i humanitats,HOME,Adscrit,1.0,0.0
19-20,PRIVADA,UVIC-UCC,màster universitari,Arts i humanitats,HOME,Integrat,1.0,0.25
19-20,PRIVADA,UVIC-UCC,màster universitari,Ciències,DONA,Integrat,0.802744425385935,0.1
19-20,PRIVADA,UVIC-UCC,màster universitari,Ciències,HOME,Integrat,1.0,0.0
19-20,PRIVADA,UVIC-UCC,màster universitari,Ciències de la salut,DONA,Integrat,0.9906583629893237,0.0
19-20,PRIVADA,UVIC-UCC,màster universitari,Ciències de la salut,HOME,Integrat,0.7524293853314074,0.25
19-20,PRIVADA,UVIC-UCC,màster universitari,Ciències socials i jurídiques,DONA,Adscrit,0.993506493506494,0.00649350649350649
19-20,PRIVADA,UVIC-UCC,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.8926296803575015,0.02083333333333335
19-20,PRIVADA,UVIC-UCC,màster universitari,Ciències socials i jurídiques,HOME,Adscrit,1.0,0.0
19-20,PRIVADA,UVIC-UCC,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.6114114743147002,0.5131578947368421
19-20,PÚBLICA,UAB,grau,Arts i humanitats,DONA,Adscrit,0.891561874581152,0.175463288763781
19-20,PÚBLICA,UAB,grau,Arts i humanitats,DONA,Integrat,0.8471706061562501,0.15142940878693498
19-20,PÚBLICA,UAB,grau,Arts i humanitats,HOME,Adscrit,0.879637933165337,0.27333333333333354
19-20,PÚBLICA,UAB,grau,Arts i humanitats,HOME,Integrat,0.7956766408508678,0.13023584283305034
19-20,PÚBLICA,UAB,grau,Ciències,DONA,Integrat,0.9091748027467886,0.046321003711138266
19-20,PÚBLICA,UAB,grau,Ciències,HOME,Integrat,0.8787067487362403,0.08385198567606983
19-20,PÚBLICA,UAB,grau,Ciències de la salut,DONA,Adscrit,0.944301896539846,0.07955590274387257
19-20,PÚBLICA,UAB,grau,Ciències de la salut,DONA,Integrat,0.930242165539692,0.053708267790633514
19-20,PÚBLICA,UAB,grau,Ciències de la salut,HOME,Adscrit,0.7830289082761803,0.15419505612060158
19-20,PÚBLICA,UAB,grau,Ciències de la salut,HOME,Integrat,0.9208072796546252,0.06997073956933872
19-20,PÚBLICA,UAB,grau,Ciències socials i jurídiques,DONA,Adscrit,0.9432938938851415,0.1226774433296172
19-20,PÚBLICA,UAB,grau,Ciències socials i jurídiques,DONA,Integrat,0.9123508669098251,0.061531011858154745
19-20,PÚBLICA,UAB,grau,Ciències socials i jurídiques,HOME,Adscrit,0.8694356119114507,0.11849338488650414
19-20,PÚBLICA,UAB,grau,Ciències socials i jurídiques,HOME,Integrat,0.8931106970636894,0.06270544245340812
19-20,PÚBLICA,UAB,grau,Enginyeria i arquitectura,DONA,Adscrit,0.6958107995285807,0.41282051282051285
19-20,PÚBLICA,UAB,grau,Enginyeria i arquitectura,DONA,Integrat,0.8392528089788216,0.07441520467836255
19-20,PÚBLICA,UAB,grau,Enginyeria i arquitectura,HOME,Adscrit,0.8338189159902952,0.0875839846428082
19-20,PÚBLICA,UAB,grau,Enginyeria i arquitectura,HOME,Integrat,0.7690315643231926,0.11717033536698762
19-20,PÚBLICA,UAB,màster universitari,Arts i humanitats,DONA,Adscrit,0.970289729354615,0.14145658263305314
19-20,PÚBLICA,UAB,màster universitari,Arts i humanitats,DONA,Integrat,0.9587890302090007,0.05390074636978662
19-20,PÚBLICA,UAB,màster universitari,Arts i humanitats,HOME,Adscrit,0.956140350877193,0.2333333333333333
19-20,PÚBLICA,UAB,màster universitari,Arts i humanitats,HOME,Integrat,0.9262539177884661,0.12268518518518517
19-20,PÚBLICA,UAB,màster universitari,Ciències,DONA,Integrat,0.9820745633540487,0.01503634316134316
19-20,PÚBLICA,UAB,màster universitari,Ciències,HOME,Integrat,0.9687736754077334,0.04782890720390718
19-20,PÚBLICA,UAB,màster universitari,Ciències de la salut,DONA,Adscrit,0.9911973372912475,0.021300167224080263
19-20,PÚBLICA,UAB,màster universitari,Ciències de la salut,DONA,Integrat,0.9162668303556054,0.03622306817661198
19-20,PÚBLICA,UAB,màster universitari,Ciències de la salut,HOME,Adscrit,0.9194013917136156,0.12157738095238095
19-20,PÚBLICA,UAB,màster universitari,Ciències de la salut,HOME,Integrat,0.9263591282777305,0.023863636363636365
19-20,PÚBLICA,UAB,màster universitari,Ciències socials i jurídiques,DONA,Adscrit,0.9381953348430401,0.06964692187705682
19-20,PÚBLICA,UAB,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.965845435245667,0.04309113706688526
19-20,PÚBLICA,UAB,màster universitari,Ciències socials i jurídiques,HOME,Adscrit,0.915333516532193,0.13289141414141423
19-20,PÚBLICA,UAB,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.9235725801598229,0.08264565655123654
19-20,PÚBLICA,UAB,màster universitari,Enginyeria i arquitectura,DONA,Integrat,0.8618638833551113,0.22123015873015886
19-20,PÚBLICA,UAB,màster universitari,Enginyeria i arquitectura,HOME,Integrat,0.8564448122413173,0.11151199610278895
19-20,PÚBLICA,UB,grau,Arts i humanitats,DONA,Adscrit,0.8784524597055074,0.12549019607843143
19-20,PÚBLICA,UB,grau,Arts i humanitats,DONA,Integrat,0.8464258396855844,0.13796284033885753
19-20,PÚBLICA,UB,grau,Arts i humanitats,HOME,Adscrit,0.883285888050637,0.18168290043290042
19-20,PÚBLICA,UB,grau,Arts i humanitats,HOME,Integrat,0.7767311778513898,0.186246077696109
19-20,PÚBLICA,UB,grau,Ciències,DONA,Integrat,0.9103714148026072,0.058703325633984095
19-20,PÚBLICA,UB,grau,Ciències,HOME,Integrat,0.8974607782180926,0.06423994219350432
19-20,PÚBLICA,UB,grau,Ciències de la salut,DONA,Adscrit,0.9746225762454266,0.00704225352112675
19-20,PÚBLICA,UB,grau,Ciències de la salut,DONA,Integrat,0.9407798152091339,0.051299220932870676
19-20,PÚBLICA,UB,grau,Ciències de la salut,HOME,Adscrit,0.9514200314481415,0.0597384234711912
19-20,PÚBLICA,UB,grau,Ciències de la salut,HOME,Integrat,0.9204566671730121,0.04043934531631857
19-20,PÚBLICA,UB,grau,Ciències socials i jurídiques,DONA,Adscrit,0.9330081130043458,0.04257671670585398
19-20,PÚBLICA,UB,grau,Ciències socials i jurídiques,DONA,Integrat,0.8913006100181066,0.07870209278996944
19-20,PÚBLICA,UB,grau,Ciències socials i jurídiques,HOME,Adscrit,0.8777913779640064,0.10727990266425413
19-20,PÚBLICA,UB,grau,Ciències socials i jurídiques,HOME,Integrat,0.8553509519183825,0.07890002538284699
19-20,PÚBLICA,UB,grau,Enginyeria i arquitectura,DONA,Adscrit,0.917808219178082,0.0
19-20,PÚBLICA,UB,grau,Enginyeria i arquitectura,DONA,Integrat,0.856823926196471,0.12123015873015874
19-20,PÚBLICA,UB,grau,Enginyeria i arquitectura,HOME,Adscrit,0.806274900398406,0.113636363636364
19-20,PÚBLICA,UB,grau,Enginyeria i arquitectura,HOME,Integrat,0.82632146070159,0.05873379654892253
19-20,PÚBLICA,UB,màster universitari,Arts i humanitats,DONA,Adscrit,0.762235712790454,0.09057466693179544
19-20,PÚBLICA,UB,màster universitari,Arts i humanitats,DONA,Integrat,0.911441043714309,0.12122582416013566
19-20,PÚBLICA,UB,màster universitari,Arts i humanitats,HOME,Adscrit,0.752428604045276,0.08642266824085006
19-20,PÚBLICA,UB,màster universitari,Arts i humanitats,HOME,Integrat,0.8948218265786388,0.1667481184392949
19-20,PÚBLICA,UB,màster universitari,Ciències,DONA,Adscrit,0.861771058315335,0.115384615384615
19-20,PÚBLICA,UB,màster universitari,Ciències,DONA,Integrat,0.9728084013446622,0.04071318342151677
19-20,PÚBLICA,UB,màster universitari,Ciències,HOME,Adscrit,0.811800054629883,0.102040816326531
19-20,PÚBLICA,UB,màster universitari,Ciències,HOME,Integrat,0.9638309424877979,0.06123247969653197
19-20,PÚBLICA,UB,màster universitari,Ciències de la salut,DONA,Adscrit,0.9581191368243734,0.11823361823361829
19-20,PÚBLICA,UB,màster universitari,Ciències de la salut,DONA,Integrat,0.9668209692660884,0.134022381672461
19-20,PÚBLICA,UB,màster universitari,Ciències de la salut,HOME,Adscrit,0.6409194366457547,0.03125
19-20,PÚBLICA,UB,màster universitari,Ciències de la salut,HOME,Integrat,0.9745556080858113,0.03421317244846659
19-20,PÚBLICA,UB,màster universitari,Ciències socials i jurídiques,DONA,Adscrit,0.9009619563296342,0.18699511970724506
19-20,PÚBLICA,UB,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.9623925387235224,0.05217653323022593
19-20,PÚBLICA,UB,màster universitari,Ciències socials i jurídiques,HOME,Adscrit,0.9022272938284494,0.18874643874643873
19-20,PÚBLICA,UB,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.9335982221440245,0.06053125890371487
19-20,PÚBLICA,UB,màster universitari,Enginyeria i arquitectura,DONA,Integrat,0.9797851125637218,0.0
19-20,PÚBLICA,UB,màster universitari,Enginyeria i arquitectura,HOME,Integrat,0.9184790911068282,0.0108695652173913
19-20,PÚBLICA,UPC,grau,Arts i humanitats,DONA,Adscrit,0.964601769911504,0.0645161290322581
19-20,PÚBLICA,UPC,grau,Arts i humanitats,HOME,Adscrit,0.944672131147541,0.0909090909090909
19-20,PÚBLICA,UPC,grau,Ciències,DONA,Integrat,0.9700890775114261,0.0625
19-20,PÚBLICA,UPC,grau,Ciències,HOME,Integrat,0.9694182436941038,0.0344827586206897
19-20,PÚBLICA,UPC,grau,Ciències de la salut,DONA,Integrat,0.901915868388172,0.114285714285714
19-20,PÚBLICA,UPC,grau,Ciències de la salut,HOME,Integrat,0.907886815171583,0.0
19-20,PÚBLICA,UPC,grau,Ciències socials i jurídiques,DONA,Adscrit,0.9062572564661784,0.0473704881976356
19-20,PÚBLICA,UPC,grau,Ciències socials i jurídiques,HOME,Adscrit,0.889675184408255,0.07386249083920364
19-20,PÚBLICA,UPC,grau,Enginyeria i arquitectura,DONA,Adscrit,0.9499878208372242,0.09444444444444444
19-20,PÚBLICA,UPC,grau,Enginyeria i arquitectura,DONA,Integrat,0.8603377989709754,0.09689164782697457
19-20,PÚBLICA,UPC,grau,Enginyeria i arquitectura,HOME,Adscrit,0.7973432234092862,0.13155307592105578
19-20,PÚBLICA,UPC,grau,Enginyeria i arquitectura,HOME,Integrat,0.8261543039007906,0.11347956635056052
19-20,PÚBLICA,UPC,màster universitari,Ciències,DONA,Integrat,0.7273361227336123,0.0
19-20,PÚBLICA,UPC,màster universitari,Ciències,HOME,Integrat,0.901546199136381,0.037037037037037
19-20,PÚBLICA,UPC,màster universitari,Ciències de la salut,DONA,Integrat,0.957894736842105,0.125
19-20,PÚBLICA,UPC,màster universitari,Ciències de la salut,HOME,Integrat,1.0,0.0
19-20,PÚBLICA,UPC,màster universitari,Ciències socials i jurídiques,DONA,Adscrit,0.9918318803758425,0.02328605200945624
19-20,PÚBLICA,UPC,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.982443033246171,0.0204081632653061
19-20,PÚBLICA,UPC,màster universitari,Ciències socials i jurídiques,HOME,Adscrit,0.9629788277386526,0.06733229974160213
19-20,PÚBLICA,UPC,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.980903586399627,0.027027027027027
19-20,PÚBLICA,UPC,màster universitari,Enginyeria i arquitectura,DONA,Integrat,0.95199652776138,0.0459705481261568
19-20,PÚBLICA,UPC,màster universitari,Enginyeria i arquitectura,HOME,Integrat,0.942259686329135,0.09434016262746835
19-20,PÚBLICA,UPF,grau,Arts i humanitats,DONA,Adscrit,0.951141948540041,0.05
19-20,PÚBLICA,UPF,grau,Arts i humanitats,DONA,Integrat,0.8964688320304023,0.0993581780538301
19-20,PÚBLICA,UPF,grau,Arts i humanitats,HOME,Adscrit,0.898969072164949,0.0526315789473684
19-20,PÚBLICA,UPF,grau,Arts i humanitats,HOME,Integrat,0.8591614179231453,0.102485445588894
19-20,PÚBLICA,UPF,grau,Ciències de la salut,DONA,Adscrit,0.9288016471734077,0.09076529963872708
19-20,PÚBLICA,UPF,grau,Ciències de la salut,DONA,Integrat,0.9690517290005141,0.0185185185185185
19-20,PÚBLICA,UPF,grau,Ciències de la salut,HOME,Adscrit,0.9245822283178587,0.06193427409102461
19-20,PÚBLICA,UPF,grau,Ciències de la salut,HOME,Integrat,0.9102496156727751,0.1186868686868688
19-20,PÚBLICA,UPF,grau,Ciències socials i jurídiques,DONA,Adscrit,0.9290121749695357,0.07123272189366042
19-20,PÚBLICA,UPF,grau,Ciències socials i jurídiques,DONA,Integrat,0.9492582862366801,0.026301864829899435
19-20,PÚBLICA,UPF,grau,Ciències socials i jurídiques,HOME,Adscrit,0.8686165506842602,0.12145286341429423
19-20,PÚBLICA,UPF,grau,Ciències socials i jurídiques,HOME,Integrat,0.9380426171426194,0.07147980995725994
19-20,PÚBLICA,UPF,grau,Enginyeria i arquitectura,DONA,Adscrit,0.8949427321667864,0.23518518518518525
19-20,PÚBLICA,UPF,grau,Enginyeria i arquitectura,DONA,Integrat,0.833216206331029,0.08786749482401655
19-20,PÚBLICA,UPF,grau,Enginyeria i arquitectura,HOME,Adscrit,0.8778503763046707,0.11861321861321861
19-20,PÚBLICA,UPF,grau,Enginyeria i arquitectura,HOME,Integrat,0.7929397730561816,0.0865530303030304
19-20,PÚBLICA,UPF,màster universitari,Arts i humanitats,DONA,Integrat,0.9374578437675821,0.07319727891156468
19-20,PÚBLICA,UPF,màster universitari,Arts i humanitats,HOME,Integrat,0.9208587735358194,0.10317460317460314
19-20,PÚBLICA,UPF,màster universitari,Ciències,DONA,Integrat,1.0,0.0
19-20,PÚBLICA,UPF,màster universitari,Ciències,HOME,Integrat,0.9826923076923075,0.0
19-20,PÚBLICA,UPF,màster universitari,Ciències de la salut,DONA,Adscrit,0.7375,0.5714285714285715
19-20,PÚBLICA,UPF,màster universitari,Ciències de la salut,DONA,Integrat,0.9866447760798067,0.03277591973244146
19-20,PÚBLICA,UPF,màster universitari,Ciències de la salut,HOME,Adscrit,0.75,1.0
19-20,PÚBLICA,UPF,màster universitari,Ciències de la salut,HOME,Integrat,0.9880294659300184,0.0
19-20,PÚBLICA,UPF,màster universitari,Ciències socials i jurídiques,DONA,Adscrit,0.9608120992825275,0.03826723457520496
19-20,PÚBLICA,UPF,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.9422537819218623,0.09306273791567911
19-20,PÚBLICA,UPF,màster universitari,Ciències socials i jurídiques,HOME,Adscrit,0.9503278592323969,0.06395153351780027
19-20,PÚBLICA,UPF,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.9411423289075962,0.08043954387237973
19-20,PÚBLICA,UPF,màster universitari,Enginyeria i arquitectura,DONA,Integrat,0.9617554482939097,0.11527777777777776
19-20,PÚBLICA,UPF,màster universitari,Enginyeria i arquitectura,HOME,Integrat,0.8064577117544642,0.07179487179487175
19-20,PÚBLICA,URV,grau,Arts i humanitats,DONA,Integrat,0.8302458389088021,0.12246164688025159
19-20,PÚBLICA,URV,grau,Arts i humanitats,HOME,Integrat,0.8198876027772262,0.08375230434053958
19-20,PÚBLICA,URV,grau,Ciències,DONA,Integrat,0.9092777416772497,0.12717821860679013
19-20,PÚBLICA,URV,grau,Ciències,HOME,Integrat,0.9159759406845653,0.04
19-20,PÚBLICA,URV,grau,Ciències de la salut,DONA,Adscrit,0.8240481538956663,0.0646551724137931
19-20,PÚBLICA,URV,grau,Ciències de la salut,DONA,Integrat,0.8868335929902255,0.06719610358702972
19-20,PÚBLICA,URV,grau,Ciències de la salut,HOME,Adscrit,0.8805537375171321,0.21041666666666667
19-20,PÚBLICA,URV,grau,Ciències de la salut,HOME,Integrat,0.8607944251576269,0.05606573733172199
19-20,PÚBLICA,URV,grau,Ciències socials i jurídiques,DONA,Adscrit,0.9391533332189246,0.05795454545454545
19-20,PÚBLICA,URV,grau,Ciències socials i jurídiques,DONA,Integrat,0.89084400145403,0.05241732554248111
19-20,PÚBLICA,URV,grau,Ciències socials i jurídiques,HOME,Adscrit,0.893373933552025,0.062195121951219505
19-20,PÚBLICA,URV,grau,Ciències socials i jurídiques,HOME,Integrat,0.8333406305847919,0.10373471875662012
19-20,PÚBLICA,URV,grau,Enginyeria i arquitectura,DONA,Adscrit,0.917355371900827,0.0
19-20,PÚBLICA,URV,grau,Enginyeria i arquitectura,DONA,Integrat,0.7649349049868224,0.10280952380952381
19-20,PÚBLICA,URV,grau,Enginyeria i arquitectura,HOME,Adscrit,0.910965794768612,0.0
19-20,PÚBLICA,URV,grau,Enginyeria i arquitectura,HOME,Integrat,0.7435703819766277,0.12282432621142293
19-20,PÚBLICA,URV,màster universitari,Arts i humanitats,DONA,Integrat,0.8657321012333415,0.2821428571428572
19-20,PÚBLICA,URV,màster universitari,Arts i humanitats,HOME,Integrat,0.9067803450613239,0.1066666666666666
19-20,PÚBLICA,URV,màster universitari,Ciències,DONA,Integrat,0.8388888888888889,0.2666666666666666
19-20,PÚBLICA,URV,màster universitari,Ciències,HOME,Integrat,0.9890350877192984,0.01818181818181818
19-20,PÚBLICA,URV,màster universitari,Ciències de la salut,DONA,Integrat,0.9218367322105607,0.15620082531847249
19-20,PÚBLICA,URV,màster universitari,Ciències de la salut,HOME,Integrat,0.8424278154554233,0.2041666666666667
19-20,PÚBLICA,URV,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.9185488123238659,0.07220244024386469
19-20,PÚBLICA,URV,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.8478266758460022,0.15479468448218453
19-20,PÚBLICA,URV,màster universitari,Enginyeria i arquitectura,DONA,Integrat,0.8997181836655176,0.06349206349206354
19-20,PÚBLICA,URV,màster universitari,Enginyeria i arquitectura,HOME,Integrat,0.8198555499051106,0.1571151665682047
19-20,PÚBLICA,UdG,grau,Arts i humanitats,DONA,Adscrit,0.92822966507177,0.173913043478261
19-20,PÚBLICA,UdG,grau,Arts i humanitats,DONA,Integrat,0.8634906279471721,0.1034551369955097
19-20,PÚBLICA,UdG,grau,Arts i humanitats,HOME,Adscrit,0.848292295472597,0.333333333333333
19-20,PÚBLICA,UdG,grau,Arts i humanitats,HOME,Integrat,0.8090697941914688,0.12168397830682968
19-20,PÚBLICA,UdG,grau,Ciències,DONA,Integrat,0.9401236833145159,0.03146803791086918
19-20,PÚBLICA,UdG,grau,Ciències,HOME,Integrat,0.9097567947495869,0.07180487137383695
19-20,PÚBLICA,UdG,grau,Ciències de la salut,DONA,Adscrit,0.8870324360706777,0.0364987080103359
19-20,PÚBLICA,UdG,grau,Ciències de la salut,DONA,Integrat,0.9750368035182587,0.02521069456553329
19-20,PÚBLICA,UdG,grau,Ciències de la salut,HOME,Adscrit,0.8826115141383712,0.0898162525879917
19-20,PÚBLICA,UdG,grau,Ciències de la salut,HOME,Integrat,0.9378263065811963,0.09782608695652173
19-20,PÚBLICA,UdG,grau,Ciències socials i jurídiques,DONA,Adscrit,0.9456659064573761,0.06285063539414129
19-20,PÚBLICA,UdG,grau,Ciències socials i jurídiques,DONA,Integrat,0.9144694769019788,0.03627532311742837
19-20,PÚBLICA,UdG,grau,Ciències socials i jurídiques,HOME,Adscrit,0.9196393255127153,0.0838358918128655
19-20,PÚBLICA,UdG,grau,Ciències socials i jurídiques,HOME,Integrat,0.8358234072351689,0.09851618422020719
19-20,PÚBLICA,UdG,grau,Enginyeria i arquitectura,DONA,Integrat,0.7647821062453605,0.11297313797313797
19-20,PÚBLICA,UdG,grau,Enginyeria i arquitectura,HOME,Integrat,0.8163427456187395,0.15836752159870898
19-20,PÚBLICA,UdG,màster universitari,Arts i humanitats,DONA,Integrat,0.9790849673202614,0.041666666666666664
19-20,PÚBLICA,UdG,màster universitari,Arts i humanitats,HOME,Integrat,0.9491634491634494,0.0
19-20,PÚBLICA,UdG,màster universitari,Ciències,DONA,Integrat,0.999031007751938,0.06089743589743597
19-20,PÚBLICA,UdG,màster universitari,Ciències,HOME,Integrat,0.9889423076923077,0.025
19-20,PÚBLICA,UdG,màster universitari,Ciències de la salut,DONA,Integrat,0.9725382015467631,0.0217391304347826
19-20,PÚBLICA,UdG,màster universitari,Ciències de la salut,HOME,Integrat,0.9372032579579749,0.1
19-20,PÚBLICA,UdG,màster universitari,Ciències socials i jurídiques,DONA,Integrat,0.9340136685859125,0.13935142515787674
19-20,PÚBLICA,UdG,màster universitari,Ciències socials i jurídiques,HOME,Integrat,0.92354943128435,0.09392462638076676
19-20,PÚBLICA,UdG,màster universitari,Enginyeria i arquitectura,DONA,Integrat,0.8687633025437564,0.0
